samples
"Aquí me pongo a cantar [SEP]  Al compás de la vigüela, [SEP]  Que el hombre que lo desvela [SEP]  Una pena estraordinaria [SEP]  Como la ave solitaria [SEP]  Con el cantar se consuela. "
Pido a los Santos del Cielo [SEP]  Que ayuden mi pensamiento; [SEP]  Les pido en este momento [SEP]  Que voy a cantar mi historia [SEP]  Me refresquen la memoria [SEP]  Y aclaren mi entendimiento. 
"Vengan Santos milagrosos, [SEP]  Vengan todos en mi ayuda, [SEP]  Que la lengua se me añuda [SEP]  Y se me turba la vista; [SEP]  Pido a Dios que me asista [SEP]  En una ocasión tan ruda. "
"Yo he visto muchos cantores, [SEP]  Con famas bien obtenidas, [SEP]  Y que después de adquiridas [SEP]  No las quieren sustentar [SEP]  Parece que sin largar [SEP]  se cansaron en partidas "
"Mas ande otro criollo pasa [SEP]  Martín Fierro ha de pasar; [SEP]  nada lo hace recular [SEP]  ni los fantasmas lo espantan, [SEP]  y dende que todos cantan [SEP]  yo también quiero cantar. "
"Cantando me he de morir [SEP]  Cantando me han de enterrar, [SEP]  Y cantando he de llegar [SEP]  Al pie del eterno padre: [SEP]  Dende el vientre de mi madre [SEP]  Vine a este mundo a cantar. "
"Que no se trabe mi lengua [SEP]  Ni me falte la palabra: [SEP]  El cantar mi gloria labra [SEP]  Y poniéndome a cantar, [SEP]  Cantando me han de encontrar [SEP]  Aunque la tierra se abra. "
"Me siento en el plan de un bajo [SEP]  A cantar un argumento: [SEP]  Como si soplara el viento [SEP]  Hago tiritar los pastos; [SEP]  Con oros, copas y bastos [SEP]  Juega allí mi pensamiento. "
"Yo no soy cantor letrao, [SEP]  Mas si me pongo a cantar [SEP]  No tengo cuándo acabar [SEP]  Y me envejezco cantando: [SEP]  Las coplas me van brotando [SEP]  Como agua de manantial. "
"Con la guitarra en la mano [SEP]  Ni las moscas se me arriman, [SEP]  Naides me pone el pie encima, [SEP]  Y cuando el pecho se entona, [SEP]  Hago gemir a la prima [SEP]  Y llorar a la bordona. "
"Yo soy toro en mi rodeo [SEP]  Y torazo en rodeo ajeno; [SEP]  Siempre me tuve por güeno [SEP]  Y si me quieren probar, [SEP]  Salgan otros a cantar [SEP]  Y veremos quién es menos. "
